date,time,test,duration
2026-06-25,13:00:02,Dummy Performance Test,0.75
2026-06-25,13:00:30,Dummy Performance Test,0.87
2026-06-25,13:00:32,Dummy Performance Test,0.63
2026-06-25,16:05:58,Dummy Performance Test,1.02
2026-06-25,16:06:16,Dummy Performance Test,0.77
2026-06-25,11:48:21,Dummy Performance Test,0.62
2026-06-25,17:51:34,Dummy Performance Test,0.82
2026-06-26,13:35:10,Dummy Performance Test,0.0
2026-06-26,13:40:31,Dummy Performance Test,0.0
2026-06-26,14:02:34,Dummy Performance Test,0.0
2026-06-26,15:09:38,Dummy Performance Test,0.0
